status,p_value,morans_test_statistic,morans_I,gene_short_name,q_value
OK,2.1487614906382124e-8,5.478167881923589,0.01808164202627401,MRPS14,7.600692092844001e-8
OK,2.5329561336220115e-16,8.109905553165877,0.026832643886201657,KIAA0040,1.160265181028458e-15
OK,0.008606990826611179,2.3821051442055885,0.007768318986515682,LINC02803,0.019483462962321674
OK,4.401453643539785e-44,13.87642259062522,0.04604236008304644,COP1,3.128512102474276e-43
OK,7.13803209929742e-6,4.339571763194483,0.013292139063542681,AL590723.1,2.1944516792635194e-5
OK,1.5886624182645229e-21,9.45672715879201,0.031236905565177664,AL591043.2,8.1377318067275e-21
OK,0.01837388618005549,2.088555301819262,0.0067457891754828395,PAPPA2,0.03944376797442565
OK,0.0011597922267390425,3.0459343897328974,0.00993459205317181,RASAL2-AS1,0.0029543027869567626
OK,0,49.87928673182428,0.1658533986816746,RASAL2,0
OK,3.235333631706596e-103,21.540710557440967,0.07154116650500596,RALGPS2,3.5315661650717133e-102
OK,7.699353416683818e-243,33.25846933451097,0.11051985456468134,ANGPTL1,1.3528525843648248e-241
OK,7.172230215044127e-12,6.75438276047082,0.02233568721721388,FAM20B,2.891548686894394e-11
OK,0,64.83916960784448,0.2156428590737873,ABL2,0
OK,6.485330876709105e-92,20.299573154042935,0.06741539358779831,SOAT1,6.683584682889686e-91
OK,2.036287230690959e-11,6.60141292556367,0.021789432538774616,AXDND1,8.08856181061458e-11
OK,1.8060004980656053e-12,6.951586783245008,0.02299460141867625,TOR1AIP2,7.433046679916431e-12
OK,3.314425484930321e-29,11.15686439022847,0.03699133347097574,TOR1AIP1,1.931759342776514e-28
OK,5.517846549306042e-49,14.663545341084907,0.04866102196198595,CEP350,4.117572361043099e-48
OK,4.366639758060888e-60,16.307472166123038,0.054110200976426694,QSOX1,3.599581816708324e-59
OK,1.049421087247862e-8,5.603650080896758,0.01851042135000802,ACBD6,3.7618620742623046e-8
OK,3.6711014365108026e-72,17.926368050473265,0.05951868538680257,XPR1,3.307577934666588e-71
OK,0.00926960845830499,2.3546688888537646,0.007670872435668893,KIAA1614,0.020867750736752743
OK,0.013897074641393121,2.200179681606131,0.007183617697013816,STX6,0.030449166395815436
OK,0,61.41205161054834,0.20423245971634982,IER5,0
OK,6.52891843353296e-15,7.705258819721756,0.025327992327339847,LINC01344,2.8794927518950985e-14
OK,4.987230414822957e-308,37.49787714329841,0.12465301507765253,GLUL,1.0227757754588142e-306
OK,0.0010572803357363609,3.0736518157386903,0.009656965066775656,RGSL1,0.0027040195238889862
OK,0.019892610895038985,2.055971931448203,0.006671167755656001,RNASEL,0.04241106423054475
OK,3.6736373208476565e-150,26.073176655336585,0.08658933971605329,RGS16,4.9679254365370295e-149
OK,2.447991262907278e-4,3.486383679358035,0.011436863732311292,NPL,6.677146667683738e-4
OK,0.021259750733701725,2.0283993983138937,0.006570557115203167,AL355999.1,0.045087073737022615
OK,6.229816153086989e-68,17.376369288220367,0.057690612891285624,DHX9,5.4648046696671014e-67
OK,0,55.77430652595313,0.18546906007530198,LAMC1,0
OK,0.008621790713665294,2.381472431207904,0.007761262250927389,LAMC1-AS1,0.019509241168455236
OK,1.9005339848314275e-83,19.31785689159761,0.06411802127984552,LAMC2,1.8537176921992785e-82
OK,3.856428268307219e-34,12.125773441287437,0.04008597697662814,NMNAT2,2.4337212215092e-33
OK,2.037621153067538e-5,4.1031718984535255,0.01338524836009189,AL354953.1,6.073559954529744e-5
OK,0.019449306904446892,2.065257803879047,0.006634346561629342,SMG7-AS1,0.041549602883300535
OK,1.372166120361232e-10,6.312573401912833,0.020866226570548298,SMG7,5.306030711333275e-10
OK,1.7242579915577005e-4,3.579045372672827,0.011629571531369494,NCF2,4.782950462124155e-4
OK,0,43.389371729119574,0.1442594855568139,ARPC5,0
OK,1.283991027261282e-7,5.152673965596892,0.017005432338852194,RGL1,4.370369744891716e-7
OK,4.933124581415764e-6,4.4200841116323435,0.014553892660445095,TSEN15,1.53025353226469e-5
OK,2.3457898111771783e-36,12.536870777690666,0.04158481875784259,C1orf21,1.5314327271507918e-35
