"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BASP11",1.67231558834089e-25,0.412378692568237,0.669,0.41,4.05887716446217e-21,"8","BASP1"
"IMMP2L1",1.67625266187854e-25,0.356092747163496,0.536,0.301,4.06843283564541e-21,"8","IMMP2L"
"TTC19",1.76776962011093e-25,0.293733796965582,0.542,0.297,4.29055364497123e-21,"8","TTC19"
"ITPKC",1.83503537445821e-25,0.258758802666462,0.265,0.106,4.45381435734751e-21,"8","ITPKC"
"EIF4B",1.95183330310035e-25,0.319047951217123,0.794,0.539,4.73729460995485e-21,"8","EIF4B"
"NT5DC31",2.07411117131272e-25,0.307999149609391,0.667,0.399,5.03407522389309e-21,"8","NT5DC3"
"BRD21",2.17770645110728e-25,0.394433402906441,0.794,0.577,5.28551132748247e-21,"8","BRD2"
"SMIM41",3.69851388757185e-25,0.288153280459545,0.483,0.259,8.97666305652565e-21,"8","SMIM4"
"GAS11",4.24358653910132e-25,0.319004599932909,0.496,0.265,1.02996088890528e-20,"8","GAS1"
"SNHG62",4.49478135636858e-25,0.392334562539844,0.883,0.7,1.09092838300422e-20,"8","SNHG6"
"CPT1A",4.63437664666071e-25,0.253835162906816,0.367,0.173,1.12480955591102e-20,"8","CPT1A"
"SDC41",5.47132966393293e-25,0.308466986085178,0.451,0.235,1.32794642273316e-20,"8","SDC4"
"THBS11",6.15517871014674e-25,0.45539629285038,0.977,0.936,1.49392342473972e-20,"8","THBS1"
"PCBP2",6.71742376276488e-25,0.341195364787046,0.877,0.691,1.63038592146066e-20,"8","PCBP2"
"MAPK61",8.31068416910865e-25,0.355288360078082,0.85,0.626,2.01708615468436e-20,"8","MAPK6"
"ST5",8.40186446905301e-25,0.356059788983098,0.604,0.372,2.03921652528386e-20,"8","ST5"
"XRRA11",8.49620083040324e-25,0.278042100748093,0.47,0.245,2.06211290354717e-20,"8","XRRA1"
"LARGE11",8.51933691440804e-25,0.32145335175943,0.962,0.878,2.06772826249598e-20,"8","LARGE1"
"HS6ST1",9.88111430627057e-25,0.256773765566621,0.326,0.147,2.39824525327493e-20,"8","HS6ST1"
"UBAP2",1.0752183627945e-24,0.283105908795253,0.53,0.293,2.60966248833853e-20,"8","UBAP2"
"RPL232",1.40802134677443e-24,0.320529698657868,0.989,0.974,3.41740861075622e-20,"8","RPL23"
"PNPLA82",1.65891841863661e-24,0.396373614466512,0.809,0.603,4.02636089387292e-20,"8","PNPLA8"
"MICOS103",1.79955929757033e-24,0.473077427721704,0.771,0.58,4.36771037113295e-20,"8","MICOS10"
"RPL213",1.80699787057768e-24,0.267203182559232,1,0.993,4.38576453167908e-20,"8","RPL21"
"TPM42",1.93249728572801e-24,0.533672708148754,0.837,0.694,4.69036416219045e-20,"8","TPM4"
"GRB21",1.96782025075389e-24,0.48196703417967,0.621,0.412,4.77609653060476e-20,"8","GRB2"
"LINC00910",2.05131523333257e-24,0.263901091627399,0.271,0.112,4.97874720282149e-20,"8","LINC00910"
"RMC1",2.22641378977811e-24,0.250989118546646,0.371,0.179,5.40372890917046e-20,"8","RMC1"
"KLHL8",2.92652633863471e-24,0.252313058405022,0.337,0.154,7.10297207650031e-20,"8","KLHL8"
"SYNJ21",3.02645963345094e-24,0.364910453095426,0.657,0.415,7.34552017634878e-20,"8","SYNJ2"
"LMCD1-AS1",3.38371155733943e-24,0.291140530377913,0.347,0.161,8.21260632081853e-20,"8","LMCD1-AS1"
"MBP1",3.59515094442632e-24,0.378348894528784,0.506,0.294,8.72579085721713e-20,"8","MBP"
"FEM1B1",3.88606618406977e-24,0.343845484380435,0.487,0.271,9.43187123535575e-20,"8","FEM1B"
"CYCS2",3.94404663600881e-24,0.354595874510026,0.873,0.692,9.57259559025697e-20,"8","CYCS"
"RBM41",6.45609479403827e-24,0.334084950556622,0.706,0.477,1.56695876746103e-19,"8","RBM4"
"OAT2",7.48839946936096e-24,0.344260632555927,0.72,0.491,1.8175094352086e-19,"8","OAT"
"TGFB1",8.71108433963992e-24,0.366990460317789,0.553,0.33,2.114267280074e-19,"8","TGFB1"
"DOCK3",9.22308120077797e-24,0.281607960918554,0.25,0.101,2.23853403824082e-19,"8","DOCK3"
"NAV1",9.80228660849237e-24,0.280906949662423,0.403,0.201,2.37911298274718e-19,"8","NAV1"
"CALD13",1.09633820549288e-23,0.343527717147742,0.992,0.917,2.66092245855177e-19,"8","CALD1"
"LMO41",1.20579751968305e-23,0.342632278263314,0.765,0.539,2.92659116002274e-19,"8","LMO4"
"FBLN5",1.29096761472073e-23,0.334106901689546,0.617,0.377,3.13330749768869e-19,"8","FBLN5"
"KLHL24",1.42166973572977e-23,0.292031220004699,0.485,0.266,3.45053461558973e-19,"8","KLHL24"
"PBX12",1.52409876907042e-23,0.426617158938395,0.917,0.813,3.69914012241081e-19,"8","PBX1"
"YPEL51",1.66410127187146e-23,0.338040158659019,0.674,0.436,4.03894019695923e-19,"8","YPEL5"
"RAB311",1.81541788602776e-23,0.394072399409166,0.778,0.567,4.40620075117798e-19,"8","RAB31"
"SNHG172",2.10734536037579e-23,0.298672656121504,0.528,0.302,5.11473792416807e-19,"8","SNHG17"
"LRRFIP22",2.23008163137537e-23,0.489728552266822,0.896,0.788,5.41263112751115e-19,"8","LRRFIP2"
"RPL412",3.2503188928433e-23,0.266644806797488,1,0.999,7.88884898481998e-19,"8","RPL41"
"RPS92",3.95791513016284e-23,0.279094165397619,1,0.995,9.60625581241823e-19,"8","RPS9"
"ARL4C3",4.17210364201613e-23,0.372757573723054,0.447,0.243,1.01261127495373e-18,"8","ARL4C"
